optimizer_name,function_id,dimension,target_value,ert,success_rate
1komma2 brockhoff (2010),1,2,1e-07,329.933334,1.000000
1komma2 brockhoff (2010),1,5,1e-07,975.333336,1.000000
1komma2 brockhoff (2010),1,10,1e-07,1957.533335,1.000000
1komma2 brockhoff (2010),1,20,1e-07,4004.933312,1.000000
1komma2 brockhoff (2010),2,2,1e-07,1910.866666,1.000000
1komma2 brockhoff (2010),2,5,1e-07,6455.866702,1.000000
1komma2 brockhoff (2010),2,10,1e-07,21069.533355,1.000000
1komma2 brockhoff (2010),2,20,1e-07,72335.066742,1.000000
1komma2 brockhoff (2010),3,2,1e-07,21349.333216,0.600000
1komma2 brockhoff (2010),3,5,1e-07,82703308,0.000000
1komma2 brockhoff (2010),3,10,1e-07,365107302,0.000000
1komma2 brockhoff (2010),3,20,1e-07,1530215302,0.000000
1komma2 brockhoff (2010),8,2,1e-07,2248.733312,1.000000
1komma2 brockhoff (2010),8,5,1e-07,6407.866596,1.000000
1komma2 brockhoff (2010),8,10,1e-07,25352.599341,1.000000
1komma2 brockhoff (2010),8,20,1e-07,88720.069764,0.933333
1komma2 brockhoff (2010),15,2,1e-07,18088.099828,0.666667
1komma2 brockhoff (2010),15,5,1e-07,1067992718,0.000000
1komma2 brockhoff (2010),15,10,1e-07,7983559668,0.000000
1komma2 brockhoff (2010),15,20,1e-07,92000920000,0.000000
1komma2mir brockhoff (2010),1,2,1e-07,297.666666,1.000000
1komma2mir brockhoff (2010),1,5,1e-07,648,1.000000
1komma2mir brockhoff (2010),1,10,1e-07,1184.933343,1.000000
1komma2mir brockhoff (2010),1,20,1e-07,2230.733317,1.000000
1komma2mir brockhoff (2010),2,2,1e-07,2418.200003,1.000000
1komma2mir brockhoff (2010),2,5,1e-07,4292.533312,1.000000
1komma2mir brockhoff (2010),2,10,1e-07,10534.2666,1.000000
1komma2mir brockhoff (2010),2,20,1e-07,33871.733481,1.000000
1komma2mir brockhoff (2010),3,2,1e-07,19607.11112,0.600000
1komma2mir brockhoff (2010),3,5,1e-07,744404.999228,0.066667
1komma2mir brockhoff (2010),3,10,1e-07,365107302,0.000000
1komma2mir brockhoff (2010),3,20,1e-07,1530215302,0.000000
1komma2mir brockhoff (2010),8,2,1e-07,1833.333376,1.000000
1komma2mir brockhoff (2010),8,5,1e-07,3656.06663,1.000000
1komma2mir brockhoff (2010),8,10,1e-07,10473.800487,1.000000
1komma2mir brockhoff (2010),8,20,1e-07,36443.333344,1.000000
1komma2mir brockhoff (2010),15,2,1e-07,15023.273344,0.733333
1komma2mir brockhoff (2010),15,5,1e-07,1067992718,0.000000
1komma2mir brockhoff (2010),15,10,1e-07,7983559668,0.000000
1komma2mir brockhoff (2010),15,20,1e-07,92000920000,0.000000
1komma2mirser brockhoff (2010),1,2,1e-07,240.666666,1.000000
1komma2mirser brockhoff (2010),1,5,1e-07,552.133332,1.000000
1komma2mirser brockhoff (2010),1,10,1e-07,1042.266666,1.000000
1komma2mirser brockhoff (2010),1,20,1e-07,2002.13332,1.000000
1komma2mirser brockhoff (2010),2,2,1e-07,1795.999986,1.000000
1komma2mirser brockhoff (2010),2,5,1e-07,3526.333296,1.000000
1komma2mirser brockhoff (2010),2,10,1e-07,9132.266715,1.000000
1komma2mirser brockhoff (2010),2,20,1e-07,28169.466576,1.000000
1komma2mirser brockhoff (2010),3,2,1e-07,11641.833312,0.800000
1komma2mirser brockhoff (2010),3,5,1e-07,82703308,0.000000
1komma2mirser brockhoff (2010),3,10,1e-07,365103651,0.000000
